policy,period,cnt
"정책카드: 공원·녹지",2022,1
"정책카드: 공원·녹지",2024,1
"정책카드: 공원·녹지",2025,1
"정책카드: 교통·도로/시설안전",2023,1
"정책카드: 교통·도로/시설안전",2026,1
"정책카드: 기타",2024,1
"정책카드: 대곡역 환승체계(교통/광역교통)",2022,2
"정책카드: 대곡역 환승체계(교통/광역교통)",2023,4
"정책카드: 대곡역 환승체계(교통/광역교통)",2024,6
"정책카드: 대곡역 환승체계(교통/광역교통)",2025,5
"정책카드: 대곡역 환승체계(교통/광역교통)",2026,4
"정책카드: 상하수도·인프라",2023,1
"정책카드: 상하수도·인프라",2024,1
"정책카드: 상하수도·인프라",2026,1
